year,player,mvp,team,wins,yards,td,cmp%,int,qbr,rush yards,rush td
2016,Drew Brees,0,NOR,7,5208.0,37.0,70.0,15.0,66.8,20,2
2016,Matt Ryan,1,ATL,11,4944.0,38.0,69.9,7.0,79.6,117,0
2016,Kirk Cousins,0,WAS,8,4917.0,25.0,67.0,12.0,66.5,96,4
2016,Aaron Rodgers,0,GNB,10,4428.0,40.0,65.7,7.0,72.4,369,4
2016,Philip Rivers,0,SDG,5,4386.0,33.0,60.4,21.0,58.7,35,0
2016,Matthew Stafford,0,DET,9,4327.0,24.0,65.3,10.0,65.2,207,2
2016,Joe Flacco,0,BAL,8,4317.0,20.0,64.9,15.0,52.5,58,2
2016,Andrew Luck,0,IND,8,4240.0,31.0,63.5,13.0,65.9,341,2
2016,Carson Palmer,0,ARI,6,4233.0,26.0,61.0,14.0,52.9,38,0
2016,Russell Wilson,0,SEA,10,4219.0,21.0,64.7,11.0,57.1,259,1
2016,Andy Dalton,0,CIN,6,4206.0,18.0,64.7,8.0,52.3,184,4
2016,Jameis Winston,0,TAM,9,4090.0,28.0,60.8,18.0,59.5,165,1
2016,Eli Manning,0,NYG,11,4027.0,26.0,63.0,16.0,45.7,-9,0
2016,Derek Carr,0,OAK,12,3937.0,28.0,63.8,6.0,56.1,70,0
2016,Blake Bortles,0,JAX,3,3905.0,23.0,58.9,16.0,43.0,359,3
2016,Sam Bradford,0,MIN,7,3877.0,20.0,71.6,5.0,53.1,53,0
2016,Ben Roethlisberger,0,PIT,10,3819.0,29.0,64.4,13.0,60.5,14,1
2016,Carson Wentz,0,PHI,7,3782.0,16.0,62.4,14.0,46.7,150,2
2016,Dak Prescott,0,DAL,13,3667.0,23.0,67.8,4.0,77.6,282,6
2016,Tom Brady,0,NWE,11,3554.0,28.0,67.4,2.0,79.4,64,0
2016,Cam Newton,0,CAR,6,3509.0,19.0,52.9,14.0,47.1,359,5
2016,Alex Smith,0,KAN,11,3502.0,15.0,67.1,8.0,60.8,134,5
2016,Marcus Mariota,0,TEN,8,3426.0,26.0,61.2,9.0,59.1,349,2
2016,Trevor Siemian,0,DEN,8,3401.0,18.0,59.5,10.0,49.7,57,0
2016,Tyrod Taylor,0,BUF,7,3023.0,17.0,61.7,6.0,62.4,580,6
2016,Ryan Tannehill,0,MIA,8,2995.0,19.0,67.1,12.0,48.6,164,1
2016,Brock Osweiler,0,HOU,8,2957.0,15.0,59.0,16.0,49.3,131,2
2016,Ryan Fitzpatrick,0,NYJ,3,2710.0,12.0,56.6,17.0,39.2,130,0
2016,Colin Kaepernick,0,SFO,1,2241.0,16.0,59.2,4.0,49.2,468,2
2016,Case Keenum,0,LAR,4,2201.0,9.0,60.9,11.0,37.5,51,1
2016,Matt Barkley,0,CHI,1,1611.0,8.0,59.7,14.0,33.6,2,0
2016,Brian Hoyer,0,CHI,1,1445.0,6.0,67.0,0.0,55.1,-2,0
