player,mvp,team,wins,yards,td,cmp%,int,qbr,year,rush yards,rush td
Tom Brady,0,TAM,6,2275.0,21.0,67.0,3.0,69.4,2021,37,1
Derek Carr,0,LVR,5,2269.0,12.0,67.7,5.0,60.9,2021,29,0
Matthew Stafford,0,LAR,6,2172.0,19.0,69.3,4.0,78.6,2021,24,0
Patrick Mahomes,0,KAN,3,2093.0,18.0,67.5,9.0,63.9,2021,219,1
Kyler Murray,0,ARI,7,2002.0,17.0,73.5,5.0,65.0,2021,126,3
Joe Burrow,0,CIN,5,1956.0,17.0,68.9,8.0,59.5,2021,44,0
Lamar Jackson,0,BAL,5,1943.0,10.0,64.9,5.0,60.3,2021,480,2
Dak Prescott,0,DAL,5,1813.0,16.0,73.1,4.0,57.0,2021,70,0
Mac Jones,0,NWE,3,1779.0,9.0,70.4,6.0,53.5,2021,45,0
Jared Goff,0,DET,0,1773.0,8.0,66.1,6.0,33.0,2021,76,0
Justin Herbert,0,LAC,4,1771.0,14.0,65.4,4.0,61.1,2021,72,1
Kirk Cousins,0,MIN,3,1769.0,13.0,69.5,2.0,56.3,2021,57,0
Ryan Tannehill,0,TEN,5,1737.0,7.0,65.1,5.0,61.7,2021,139,3
Daniel Jones,0,NYG,2,1727.0,5.0,63.5,4.0,46.9,2021,229,2
Josh Allen,0,BUF,4,1723.0,15.0,64.8,3.0,64.5,2021,214,2
Jalen Hurts,0,PHI,2,1716.0,10.0,61.2,4.0,38.8,2021,361,5
Aaron Rodgers,0,GNB,6,1710.0,15.0,68.3,3.0,66.3,2021,44,2
Teddy Bridgewater,0,DEN,3,1701.0,12.0,70.1,5.0,50.3,2021,69,0
Carson Wentz,0,IND,3,1695.0,11.0,64.4,1.0,58.7,2021,97,1
Sam Darnold,0,CAR,3,1685.0,7.0,61.4,8.0,41.9,2021,110,5
Matt Ryan,0,ATL,3,1668.0,12.0,68.0,4.0,53.3,2021,26,0
Taylor Heinicke,0,WAS,2,1658.0,10.0,64.3,7.0,45.0,2021,222,1
Ben Roethlisberger,0,PIT,3,1515.0,7.0,65.1,4.0,42.1,2021,6,0
Baker Mayfield,0,CLE,3,1474.0,6.0,67.1,3.0,41.6,2021,75,1
Trevor Lawrence,0,JAX,1,1465.0,7.0,59.7,8.0,38.6,2021,121,2
Russell Wilson,0,SEA,2,1196.0,10.0,72.0,1.0,62.5,2021,68,1
Zach Wilson,0,NYJ,1,1168.0,4.0,57.5,9.0,24.5,2021,22,0
Jameis Winston,0,NOR,4,1114.0,13.0,58.9,3.0,58.3,2021,126,1
Jimmy Garoppolo,0,SFO,2,1106.0,6.0,64.8,4.0,38.1,2021,26,1
Davis Mills,0,HOU,0,1047.0,5.0,64.9,7.0,32.2,2021,8,0
Jacoby Brissett,0,MIA,0,883.0,4.0,65.4,2.0,58.1,2021,57,1
Tua Tagovailoa,0,MIA,1,835.0,7.0,69.5,4.0,47.6,2021,52,1
