player,team,rush yards,rush td
Michael Turner,ATL,1371,12
Steven Jackson,STL,1241,6
Arian Foster,HOU,1616,16
Rashard Mendenhall,PIT,1273,13
Cedric Benson,CIN,1111,7
Chris Johnson,TEN,1364,11
Ray Rice,BAL,1220,5
Maurice Jones-Drew,JAX,1324,5
Adrian Peterson,MIN,1298,12
Ahmad Bradshaw,NYG,1235,8
Peyton Hillis,CLE,1177,11
Thomas Jones,KAN,896,6
Matt Forte,CHI,1069,6
Jamaal Charles,KAN,1467,5
BenJarvus Green-Ellis,NWE,1008,13
Darren McFadden,OAK,1157,7
Fred Jackson,BUF,927,5
LaDainian Tomlinson,NYJ,914,6
LeSean McCoy,PHI,1080,7
Frank Gore,SFO,853,3
Marshawn Lynch,2TM,737,6
LeGarrette Blount,TAM,1007,6
Ronnie Brown,MIA,734,5
Brandon Jackson,GNB,703,3
Shonn Greene,NYJ,766,2
Felix Jones,DAL,800,1
Knowshon Moreno,DEN,779,5
Mike Tolbert,SDG,735,11
Jonathan Stewart,CAR,770,2
Jahvid Best,DET,555,4
Ryan Torain,WAS,742,4
Ricky Williams,MIA,673,2
Michael Bush,OAK,655,8
Ryan Mathews,SDG,678,7
Tim Hightower,ARI,736,5
Brandon Jacobs,NYG,823,9
Chris Ivory,NOR,716,5
Donald Brown,IND,497,2
Cadillac Williams,TAM,437,2
Justin Forsett,SEA,523,2
Joseph Addai,IND,495,4
Beanie Wells,ARI,397,2
Marion Barber III,DAL,374,4
Chester Taylor,CHI,267,3
Mike Goodson,CAR,452,3
Willis McGahee,BAL,380,5
Michael Vick,PHI,676,9
Danny Woodhead,2TM,547,5
Maurice Morris,DET,336,5
Jason Snelling,ATL,324,2
DeAngelo Williams,CAR,361,1
Rashad Jennings,JAX,459,4
John Kuhn,GNB,281,4
Pierre Thomas,NOR,269,2
Toby Gerhart,MIN,322,1
Brian Westbrook,SFO,340,4
C.J. Spiller,BUF,283,0
Jerome Harrison,2TM,330,1
Anthony Dixon,SFO,237,2
Josh Freeman,TAM,364,0
Tashard Choice,DAL,243,3
David Garrard,JAX,279,5
Keiland Williams,WAS,261,3
Aaron Rodgers,GNB,356,4
Bernard Scott,CIN,299,1
Julius Jones,2TM,223,0
Correll Buckhalter,DEN,147,2
Clinton Portis,WAS,227,2
Isaac Redman,PIT,247,0
Javon Ringer,TEN,239,2
Jay Cutler,CHI,232,1
Darren Sproles,SDG,267,0
Derrick Ward,HOU,315,4
Mike Bell,2TM,99,0
Jason Campbell,OAK,222,1
Javarris James,IND,112,6
Matt Ryan,ATL,122,0
Ladell Betts,NOR,150,2
Joe Flacco,BAL,84,1
Mike Hart,IND,185,1
Fred Taylor,NWE,155,0
Tim Tebow,DEN,227,6
Lance Ball,DEN,158,0
Ryan Fitzpatrick,BUF,269,0
Joe McKnight,NYJ,189,0
Brad Smith,NYJ,299,1
Dominic Rhodes,IND,172,0
Reggie Bush,NOR,150,0
Laurence Maroney,DEN,74,0
Dimitri Nance,GNB,95,0
Chad Henne,MIA,52,0
Deji Karim,JAX,160,0
Kenneth Darby,STL,107,2
Ben Roethlisberger,PIT,176,2
Kevin Smith,DET,133,0
Matt Cassel,KAN,125,0
Mewelde Moore,PIT,99,0
Eli Manning,NYG,70,0
Carson Palmer,CIN,50,0
Tom Brady,NWE,30,1
Jon Kitna,DAL,147,1
Marcel Reece,OAK,122,1
Mark Sanchez,NYJ,105,3
Donovan McNabb,WAS,151,0
Philip Rivers,SDG,52,0
James Starks,GNB,101,0
Le'Ron McClain,BAL,85,0
Colt McCoy,CLE,136,1
Sam Bradford,STL,63,1
Leon Washington,SEA,100,1
Jacob Hester,SDG,60,0
Lousaka Polite,MIA,62,1
Vince Young,TEN,125,0
Jimmy Clausen,CAR,57,0
Matt Hasselbeck,SEA,60,3
Troy Smith,SFO,121,1
LaRod Stephens-Howling,ARI,113,1
Jerome Felton,DET,76,0
Shaun Hill,DET,123,0
Kyle Orton,DEN,98,0
Matt Schaub,HOU,28,0
Eldra Buckley,PHI,67,0
Jackie Battle,KAN,50,1
Josh Cribbs,CLE,66,0
Earnest Graham,TAM,99,1
Sammy Morris,NWE,56,0
Danny Ware,NYG,73,0
Charlie Whitehurst,SEA,43,1
James Davis,2TM,60,0
Steve Slaton,HOU,93,0
Keith Toston,STL,54,0
Drew Brees,NOR,-3,0
Percy Harvin,MIN,107,1
Peyton Manning,IND,18,0
Dexter McCluster,KAN,71,0
Alex Smith,SFO,60,0
Drew Stanton,DET,113,1
Joe Webb,MIN,120,2
Aaron Brown,DET,58,0
Brett Favre,MIN,8,0
DeSean Jackson,PHI,104,1
Kevin Kolb,PHI,65,0
Stefan Logan,DET,95,0
Trent Edwards,2TM,58,0
Stephen McGee,DAL,74,0
Ovie Mughelli,ATL,36,0
Tyrell Sutton,CAR,71,0
Tyler Thigpen,MIA,73,0
Albert Young,MIN,29,0
Bruce Gradkowski,OAK,41,0
Michael Robinson,SEA,77,0
Mike Thomas,JAX,114,0
Kerry Collins,TEN,1,0
Jacoby Ford,OAK,155,2
Brian Hoyer,NWE,-8,0
Gartrell Johnson,ATL,36,0
John Skelton,ARI,49,0
Rock Cartwright,OAK,22,0
Jonathan Dwyer,PIT,28,0
Matt Flynn,GNB,26,0
Quinton Ganther,2TM,18,0
Chad Hall,PHI,29,0
Brian Leonard,CIN,61,0
John Conner,NYJ,44,1
Jake Delhomme,CLE,-2,0
Kevin Faulk,NWE,45,0
Ryan Grant,GNB,45,0
Danny Amendola,STL,81,0
Miles Austin,DAL,93,1
Charlie Batch,PIT,30,0
Kyle Boller,OAK,18,0
Nate Burleson,DET,81,0
Thomas Clayton,2TM,17,0
Tony Fiammetta,CAR,22,0
Devin Hester,CHI,30,0
Tarvaris Jackson,MIN,63,0
Seneca Wallace,CLE,9,0
Arrelious Benn,TAM,35,0
Mike Karney,STL,12,0
Tony Romo,DAL,38,0
Eddie Royal,DEN,61,0
Billy Volek,SDG,-5,0
Jason Wright,ARI,28,0
Derek Anderson,ARI,25,0
Tim Castille,KAN,3,0
Dennis Dixon,PIT,32,0
Chris Gronkowski,DAL,17,0
Larry Johnson,WAS,2,0
Matt Moore,CAR,25,0
Santana Moss,WAS,-6,0
Tony Richardson,NYJ,13,0
Donte' Stallworth,BAL,45,0
Brandon Tate,NWE,62,0
Lawrence Vickers,CLE,11,0
Mike Wallace,PIT,39,0
Patrick Cobbs,MIA,0,0
Jerricho Cotchery,NYJ,-3,0
Darrius Heyward-Bey,OAK,48,0
Kareem Huggins,TAM,11,0
Calvin Johnson,DET,32,0
Josh Johnson,TAM,39,0
Corey McIntyre,BUF,5,1
Robert Meachem,NOR,14,0
Mike Sellers,WAS,2,0
Matthew Stafford,DET,11,1
Garrett Wolfe,CHI,8,0
Darrel Young,WAS,19,0
Steve Breaston,ARI,35,0
David Gettis,CAR,2,0
Brandon Gibson,STL,28,0
Rex Grossman,WAS,6,0
Devery Henderson,NOR,8,0
Aaron Hernandez,NWE,47,0
Donald Jones,BUF,1,0
Spencer Larsen,DEN,18,0
Jeremy Maclin,PHI,36,0
Legedu Naanee,SDG,-2,0
Moran Norris,SFO,0,0
Roscoe Parrish,BUF,23,0
Sage Rosenfels,NYG,-3,0
Chansi Stuckey,CLE,9,1
Josh Vaughan,CAR,7,1
Delanie Walker,SFO,18,0
Brandon Banks,WAS,6,0
Earl Bennett,CHI,9,0
Michael Bennett,OAK,11,0
Davone Bess,MIA,-3,0
Anquan Boldin,BAL,2,0
Todd Bouman,JAX,8,0
Curtis Brinkley,SDG,11,0
Andre Brown,2TM,-1,0
Deon Butler,SEA,6,0
Kellen Clemens,NYJ,9,1
Chase Daniel,NOR,16,0
Early Doucet,ARI,5,0
Harry Douglas,ATL,-5,0
Jeff Dugan,MIN,2,0
Julian Edelman,NWE,14,0
Heath Evans,NOR,2,0
Pierre Garcon,IND,6,0
Ted Ginn Jr.,SFO,11,0
Brian Hartline,MIA,27,0
Santonio Holmes,NYJ,17,0
Andre Johnson,HOU,10,0
Greg Jones,JAX,4,0
Jacoby Jones,HOU,7,0
Brandon Marshall,MIA,3,0
Zach Miller,JAX,9,0
Devin Moore,IND,-2,0
Brian Moorman,BUF,1,0
Josh Morgan,SFO,17,0
Jerious Norwood,ATL,8,0
Ben Obomanu,SEA,17,0
Tyler Palko,KAN,5,0
Cedric Peerman,CIN,1,0
Laurent Robinson,STL,-14,0
Golden Tate,SEA,4,0
Demaryius Thomas,DEN,1,0
Javier Arenas,KAN,5,0
Jason Baker,CAR,0,0
Bernard Berrian,MIN,-8,0
Josh Bidwell,WAS,0,0
Dwayne Bowe,KAN,4,0
Dez Bryant,DAL,0,0
Andre Caldwell,CIN,-2,0
Jehuu Caulcrick,BUF,2,0
Mark Clayton,STL,6,0
Britton Colquitt,DEN,0,0
Marques Colston,NOR,1,0
Kevin Curtis,MIA,6,0
Matt Dodge,NYG,0,0
Armanti Edwards,CAR,7,0
Braylon Edwards,NYJ,4,0
Jay Feely,ARI,5,1
Yamon Figurs,2TM,-4,0
Jimmy Graham,NOR,3,0
Ahmard Hall,TEN,1,0
Max Hall,ARI,-5,0
Caleb Hanie,CHI,-1,0
Reggie Hodges,CLE,68,0
Vincent Jackson,SDG,14,0
Greg Jennings,GNB,-1,0
Brett Kern,TEN,0,0
Johnny Knox,CHI,2,0
Sam Koch,BAL,0,0
Brandon LaFell,CAR,60,0
Brandon Lloyd,DEN,-18,0
Kregg Lumpkin,TAM,0,0
Mario Manningham,NYG,2,0
Mohamed Massaquoi,CLE,-3,0
Mat McBriar,DAL,0,0
Luke McCown,JAX,4,0
Carlton Mitchell,CLE,9,0
Marlon Moore,MIA,16,0
Louis Murphy,OAK,43,0
Preston Parker,TAM,7,0
Chris Pressley,2TM,0,0
Antwaan Randle El,PIT,2,0
Chris Redman,ATL,-1,0
David Reed,BAL,15,0
Naaman Roosevelt,BUF,3,0
Dante Rosario,CAR,-2,0
Jon Ryan,SEA,-9,0
Samson Satele,OAK,0,0
Jordan Senn,CAR,5,0
Jerome Simpson,CIN,2,0
Antone Smith,ATL,-3,0
Shaun Smith,KAN,1,1
Steve Smith,CAR,9,0
Sammie Stroughter,TAM,2,0
Naufahu Tahi,MIN,1,0
Matt Turk,HOU,-27,0
Hines Ward,PIT,-2,0
Nate Washington,TEN,-8,0
Ben Watson,CLE,-1,0
Steve Weatherford,NYJ,17,0
Leonard Weaver,PHI,0,0
Roddy White,ATL,3,0
Damian Williams,TEN,5,0
Mike Williams,SEA,0,0
