player,mvp,team,wins,yards,td,cmp%,int,qbr,year
Drew Brees,0,NOR,13,5476.0,46.0,71.2,14.0,82.3,2011
Tom Brady,0,NWE,13,5235.0,39.0,65.6,12.0,73.8,2011
Matthew Stafford,0,DET,10,5038.0,41.0,63.5,16.0,60.5,2011
Eli Manning,0,NYG,9,4933.0,29.0,61.0,16.0,64.2,2011
Aaron Rodgers,0,GNB,14,4643.0,45.0,68.3,6.0,83.8,2011
Philip Rivers,0,SDG,8,4624.0,27.0,62.9,20.0,64.9,2011
Tony Romo,0,DAL,8,4184.0,31.0,66.3,10.0,69.0,2011
Matt Ryan,0,ATL,10,4177.0,29.0,61.3,12.0,69.3,2011
Ben Roethlisberger,0,PIT,11,4077.0,21.0,63.2,14.0,68.3,2011
Cam Newton,0,CAR,6,4051.0,21.0,60.0,17.0,56.6,2011
Ryan Fitzpatrick,0,BUF,6,3832.0,24.0,62.0,23.0,50.1,2011
Joe Flacco,0,BAL,12,3610.0,20.0,57.6,12.0,63.7,2011
Josh Freeman,0,TAM,4,3592.0,16.0,62.8,22.0,46.1,2011
Matt Hasselbeck,0,TEN,9,3571.0,18.0,61.6,14.0,51.4,2011
Mark Sanchez,0,NYJ,8,3474.0,26.0,56.7,18.0,42.1,2011
Andy Dalton,0,CIN,9,3398.0,20.0,58.1,13.0,49.5,2011
Michael Vick,0,PHI,7,3303.0,18.0,59.8,14.0,60.9,2011
Rex Grossman,0,WAS,5,3151.0,16.0,57.9,20.0,41.5,2011
Alex Smith,0,SFO,13,3144.0,17.0,61.3,5.0,54.5,2011
Tarvaris Jackson,0,SEA,7,3091.0,14.0,60.2,13.0,46.1,2011
Carson Palmer,0,OAK,4,2753.0,13.0,60.7,16.0,53.5,2011
Colt McCoy,0,CLE,4,2733.0,14.0,57.2,11.0,45.9,2011
Matt Moore,0,MIA,6,2497.0,16.0,60.5,9.0,55.7,2011
Matt Schaub,0,HOU,7,2479.0,15.0,61.0,6.0,73.8,2011
Jay Cutler,0,CHI,7,2319.0,13.0,58.0,7.0,60.5,2011
Blaine Gabbert,0,JAX,4,2214.0,12.0,50.8,11.0,22.2,2011
Sam Bradford,0,STL,1,2164.0,6.0,53.5,6.0,31.4,2011
Kevin Kolb,0,ARI,3,1955.0,9.0,57.7,8.0,33.3,2011
John Skelton,0,ARI,5,1913.0,11.0,54.9,14.0,37.3,2011
Christian Ponder,0,MIN,2,1853.0,13.0,54.3,13.0,32.4,2011
Kyle Orton,0,2TM,3,1758.0,9.0,59.5,9.0,,2011
Tim Tebow,0,DEN,7,1729.0,12.0,46.5,6.0,38.6,2011
