player,team,rush yards,rush td
Derrick Henry,TEN,869,10
Joe Mixon,CIN,539,4
Alvin Kamara,NOR,419,1
Jonathan Taylor,IND,579,5
Antonio Gibson,WAS,408,3
Ezekiel Elliott,DAL,521,5
Najee Harris,PIT,388,2
Darrell Henderson,LAR,417,4
Damien Harris,NWE,437,5
Leonard Fournette,TAM,413,4
Mark Ingram,HOU,294,1
Nick Chubb,CLE,523,4
James Conner,ARI,336,6
Aaron Jones,GNB,404,2
Chuba Hubbard,CAR,309,1
James Robinson,JAX,460,5
Dalvin Cook,MIN,366,2
Melvin Gordon,DEN,350,2
D'Andre Swift,DET,262,3
Lamar Jackson,BAL,480,2
Austin Ekeler,LAC,356,4
Jamaal Williams,DET,312,2
Kareem Hunt,CLE,361,5
David Montgomery,CHI,309,3
Javonte Williams,DEN,320,1
Chase Edmonds,ARI,397,0
Alexander Mattison,MIN,268,0
Mike Davis,ATL,214,1
Jalen Hurts,PHI,361,5
Clyde Edwards-Helaire,KAN,304,0
Alex Collins,SEA,260,2
Elijah Mitchell,SFO,296,2
Miles Sanders,PHI,300,0
Tony Pollard,DAL,366,1
Josh Jacobs,LVR,204,5
Devin Singletary,BUF,311,1
Latavius Murray,BAL,212,4
Michael Carter,NYJ,202,2
Khalil Herbert,CHI,279,1
Sony Michel,LAR,209,1
Cordarrelle Patterson,ATL,233,2
Saquon Barkley,NYG,195,2
Chris Carson,SEA,232,3
Myles Gaskin,MIA,243,0
Zack Moss,BUF,208,3
AJ Dillon,GNB,231,0
Christian McCaffrey,CAR,201,1
Darrel Williams,KAN,181,4
Devontae Booker,NYG,156,2
Josh Allen,BUF,214,2
Kyler Murray,ARI,126,3
Kenyan Drake,LVR,160,2
Daniel Jones,NYG,229,2
Ronald Jones II,TAM,181,1
Phillip Lindsay,HOU,97,1
Peyton Barber,LVR,143,1
Taylor Heinicke,WAS,222,1
Damien Williams,CHI,142,2
Justin Fields,CHI,140,1
Nyheim Hines,IND,115,1
Malcolm Brown,MIA,125,1
Ty'Son Williams,BAL,180,1
Patrick Mahomes,KAN,219,1
Ty Johnson,NYJ,101,1
Samaje Perine,CIN,139,1
Trey Sermon,SFO,135,1
J.D. McKissic,WAS,122,1
Salvon Ahmed,MIA,75,0
Marlon Mack,IND,101,0
Jameis Winston,NOR,126,1
David Johnson,HOU,104,0
Trey Lance,SFO,133,1
Sam Darnold,CAR,110,5
Kenneth Gainwell,PHI,120,2
Trevor Lawrence,JAX,121,2
D'Ernest Johnson,CLE,157,1
Carlos Hyde,JAX,108,0
Larry Rountree,LAC,60,0
Dak Prescott,DAL,70,0
Carson Wentz,IND,97,1
Tevin Coleman,NYJ,73,0
Justin Herbert,LAC,72,1
Ryan Tannehill,TEN,139,3
Derek Carr,LVR,29,0
Devonta Freeman,BAL,109,2
Baker Mayfield,CLE,75,1
Matthew Stafford,LAR,24,0
Tony Jones,NOR,77,0
Joe Burrow,CIN,44,0
Le'Veon Bell,BAL,34,1
Teddy Bridgewater,DEN,69,0
Jimmy Garoppolo,SFO,26,1
Elijhaa Penny,NYG,54,1
Rhamondre Stevenson,NWE,48,1
Russell Wilson,SEA,68,1
